id,typeOfQuestion,first_color,second_color,third_color,clicks,rating,C1_name,C2_name,distance_expectedC1C2,distance_HSV,distance_LCh,distance_CMYK,distance_RGB,distance_Lab,distance_pair1,distance_pair2,distance_pair3
5710cbe10cade,objTwoColors,#8000FF,253,276,402,4,Blue     ,Blue     ,0.15,0.04,0.44,0.13,0.04,0.11,0.54,0.47,0.48
5710cbf204d10,objTwoColors,#8000FF,6,300,767,3,Red      ,Pink     ,0.59,0.35,0.37,0.16,0.33,0.24,0.64,0.44,0.43
5710cd0a515bb,objTwoColors,#8000FF,307,235,206,4,Pink     ,Blue     ,0.45,0.01,0.29,0.06,0,0.04,0.57,0.46,0.46
5710cd99df604,objTwoColors,#8000FF,354,239,170,3,Red      ,Blue     ,0.77,0.1,0.38,0.09,0.11,0.14,0.84,0.62,0.62
5710ce6c1308c,objTwoColors,#8000FF,352,218,160,5,Red      ,Blue     ,0.74,0.05,0.37,0.09,0.13,0.15,0.79,0.59,0.58
5710cf445718e,objTwoColors,#8000FF,300,184,245,3,Pink     ,Blue     ,0.38,0.07,0.2,0.1,0.09,0.09,0.45,0.41,0.41
5710d140b7c5a,objTwoColors,#8000FF,230,37,74,3,Blue     ,Yellow   ,0.31,0.2,0.06,0.12,0.2,0.15,0.37,0.6,0.6
5710d71ff24c3,objTwoColors,#8000FF,107,59,528,5,Green    ,Green    ,0.89,0.48,0.19,0.26,0.48,0.42,0.6,0.56,0.56
5710d9dcc23f0,objTwoColors,#8000FF,229,313,186,4,Blue     ,Pink     ,0.05,0.01,0.4,0.04,0.01,0.02,0.35,0.33,0.33
5710e540a9514,objTwoColors,#8000FF,238,300,311,1,Blue     ,Pink     ,0.05,0.02,0.46,0.06,0,0.06,0.43,0.37,0.37
5710e60f69205,objTwoColors,#8000FF,254,357,329,4,Blue     ,Red      ,0.33,0.15,0.05,0.09,0.17,0.15,0.35,0.62,0.62
571103343658b,objTwoColors,#8000FF,268,265,297,5,Blue     ,Blue     ,0.23,0.03,0.4,0.12,0.02,0.11,0.56,0.49,0.49
5711106ab212a,objTwoColors,#8000FF,1,239,102,4,Red      ,Blue     ,0.78,0.12,0.38,0.09,0.13,0.15,0.85,0.63,0.63
5711148c11035,objTwoColors,#8000FF,323,192,24,2,Magenta  ,Sky-Blue ,0.5,0.05,0.31,0.09,0.1,0.12,0.55,0.43,0.42
57112b9e10661,objTwoColors,#8000FF,160,59,303,2,Green    ,Green    ,0.73,0.51,0.25,0.22,0.42,0.36,0.44,0.41,0.41
57112d8509632,objTwoColors,#8000FF,9,243,147,1,Red      ,Blue     ,0.78,0.15,0.37,0.09,0.13,0.15,0.84,0.62,0.61
57112da850667,objTwoColors,#8000FF,241,325,157,4,Blue     ,Magenta  ,0.14,0.04,0.08,0.03,0.03,0.01,0.27,0.43,0.43
57112ebc85ba1,objTwoColors,#8000FF,352,214,234,5,Red      ,Blue     ,0.73,0.04,0.37,0.1,0.14,0.16,0.78,0.58,0.57
57112f57403ee,objTwoColors,#8000FF,8,218,117,4,Red      ,Blue     ,0.75,0.09,0.37,0.1,0.17,0.17,0.8,0.59,0.59
