id,age,gender,num_answers,in_person,typeOfQuestion,first_color,second_color,third_color,clicks,rating,C3_name,distance_expectedC3_green,distance_expectedC3_purple,distance_HSV_1,distance_HSV_2,distance_LCh,distance_CMYK,distance_RGB,distance_Lab
57112e43d4668,19,Male,3,no,twoColorsObj,#FF0000,#00FFFF,#B000FF,118,3,NA       ,0.36,0.14,0.36,0.14,0.34,0.17,0.15,0.23
57112ebc85ba1,18,Female,32,no,twoColorsObj,#FF0000,#00FFFF,#ab00ff,426,5,NA       ,0.36,0.13,0.36,0.13,0.34,0.18,0.16,0.23
57112fc882a10,18,Male,3,no,twoColorsObj,#FF0000,#00FFFF,#8080FF,101,4,NA       ,0.32,0.17,0.32,0.17,0.3,0.15,0.13,0.21
5711348e42f02,19,Female,32,no,twoColorsObj,#FF0000,#00FFFF,#ca0088,224,4,NA       ,0.3,0.26,0.3,0.26,0.26,0.09,0.09,0.11
57113a4121a89,19,Male,4,no,twoColorsObj,#FF0000,#00FFFF,#FF0080,256,2,NA       ,0.29,0.31,0.29,0.31,0.24,0.09,0.11,0.09
57113d4d93c81,18,Female,32,no,twoColorsObj,#FF0000,#00FFFF,#ca0088,170,2,NA       ,0.3,0.26,0.3,0.26,0.26,0.09,0.09,0.11
5711405eb4abb,18,Male,5,no,twoColorsObj,#FF0000,#00FFFF,#ca0088,253,4,NA       ,0.3,0.26,0.3,0.26,0.26,0.09,0.09,0.11
5711703bd85fc,18,Female,32,no,twoColorsObj,#FF0000,#00FFFF,#7f00ff,1,5,NA       ,0.38,0.11,0.38,0.11,0.37,0.21,0.19,0.27
57127cb3ab1fe,1,Male,12,no,twoColorsObj,#FF0000,#00FFFF,#c6aeff,346,2,NA       ,0.27,0.23,0.27,0.23,0.25,0.09,0.06,0.14
572a7874c1e2e,19,Male,6,no,twoColorsObj,#FF0000,#00FFFF,#FF8080,53,2,NA       ,0.24,0.33,0.24,0.33,0.2,0.06,0.08,0.04
5734d81ba001b,19,Female,3,no,twoColorsObj,#FF0000,#00FFFF,#FF00FF,144,4,NA       ,0.32,0.19,0.32,0.19,0.3,0.12,0.11,0.17
5734d89183dab,19,Female,29,no,twoColorsObj,#FF0000,#00FFFF,#808000,34,1,NA       ,0.15,0.41,0.15,0.41,0.1,0.1,0.12,0.06
5736048bb110b,19,Male,32,no,twoColorsObj,#FF0000,#00FFFF,#FF00FF,138,5,NA       ,0.32,0.19,0.32,0.19,0.3,0.12,0.11,0.17
573634984323e,19,Male,32,no,twoColorsObj,#FF0000,#00FFFF,#ffa6a6,795,3,NA       ,0.23,0.31,0.23,0.31,0.19,0.03,0.05,0.05
57366c199283c,19,Male,32,no,twoColorsObj,#FF0000,#00FFFF,#FF0050,52,3,NA       ,0.29,0.36,0.29,0.36,0.24,0.12,0.15,0.09
57427cf6bad0c,19,Female,32,no,twoColorsObj,#FF0000,#00FFFF,#B000FF,61,4,NA       ,0.36,0.14,0.36,0.14,0.34,0.17,0.15,0.23
5744dce84ffa5,16,Male,13,no,twoColorsObj,#FF0000,#00FFFF,#B000FF,75,3,NA       ,0.36,0.14,0.36,0.14,0.34,0.17,0.15,0.23
574511e99b6d9,19,Female,32,no,twoColorsObj,#FF0000,#00FFFF,#B000FF,452,4,NA       ,0.36,0.14,0.36,0.14,0.34,0.17,0.15,0.23
5745350dc1e22,19,Female,31,no,twoColorsObj,#FF0000,#00FFFF,#FF00FF,130,3,NA       ,0.32,0.19,0.32,0.19,0.3,0.12,0.11,0.17
5745c1c07cc0c,18,Other,31,no,twoColorsObj,#FF0000,#00FFFF,#800080,473,2,NA       ,0.32,0.19,0.32,0.19,0.3,0.12,0.11,0.17
5745f6f039dc9,15,Male,33,no,twoColorsObj,#FF0000,#00FFFF,#FFFFFF,0,3,NA       ,0.21,0.29,0.21,0.29,0.19,0.03,0,0.09
